id,class,buying_low,buying_med,buying_vhigh,maint_low,maint_med,maint_vhigh,doors_3,doors_4,doors_5more,persons_4,persons_more,lug_boot_med,lug_boot_small,safety_low,safety_med
94,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
95,0.0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
98,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
99,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
101,0.0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
102,1.0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
104,0.0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
105,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
106,0.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
109,0.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
111,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
112,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,0.0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
116,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
120,2.0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
121,1.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
123,0.0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
125,0.0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0
126,2.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
127,0.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
128,2.0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
129,0.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
130,1.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
134,0.0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0
135,0.0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
136,0.0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0
137,0.0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0
138,1.0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1
139,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
143,1.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
144,0.0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
145,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
146,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
147,0.0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1
149,1.0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1
150,0.0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
151,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
153,1.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
154,1.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
155,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
157,0.0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
158,3.0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0
160,0.0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0
163,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
164,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
166,1.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
167,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
168,0.0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
169,1.0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0
172,0.0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0
173,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
174,1.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
176,2.0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
179,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
180,0.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
181,1.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0
188,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
189,0.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
190,3.0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
193,0.0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
197,0.0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
199,0.0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
200,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
201,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
203,2.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
206,0.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
207,0.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
208,0.0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
209,0.0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
212,0.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
213,0.0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0
214,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
216,0.0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0
221,0.0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1
222,3.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
225,0.0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0
226,1.0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
228,0.0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0
230,0.0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0
232,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
234,0.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
235,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
236,1.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1
237,1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
238,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
242,1.0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
244,0.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
246,2.0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
248,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
250,1.0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1
255,0.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
256,1.0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
257,0.0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0
264,0.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
266,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
272,0.0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1
273,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
274,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
275,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
277,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
280,1.0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
281,1.0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1
282,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
284,0.0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1
286,1.0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0
287,1.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
288,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
290,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
291,0.0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0
292,0.0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
293,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
296,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
297,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
301,0.0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
304,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
305,0.0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
306,0.0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
307,1.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
314,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
316,0.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
318,0.0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
321,0.0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
323,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
324,0.0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
325,1.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
327,2.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
329,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
331,0.0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
332,0.0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
334,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
335,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
336,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
337,0.0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
339,0.0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0
340,1.0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
341,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
343,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
344,0.0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0
345,0.0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
346,0.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
348,1.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
350,1.0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
352,2.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
355,3.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
357,1.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
365,3.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
366,0.0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
368,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
369,0.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1
370,0.0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
373,1.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
375,0.0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
377,0.0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
380,0.0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
382,0.0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
383,1.0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1
385,1.0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0
387,1.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
388,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
389,0.0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
392,0.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
394,0.0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0
396,1.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
398,1.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
400,0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
403,1.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
404,0.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
407,0.0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0
409,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
413,0.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
415,1.0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
417,0.0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
419,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
421,0.0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
423,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
424,0.0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
428,0.0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0
429,1.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
430,0.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
433,0.0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
437,0.0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
441,1.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
444,3.0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
447,0.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1
448,0.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
449,0.0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0
450,1.0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1
451,1.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
454,3.0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
455,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
457,0.0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
460,0.0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0
462,2.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
463,0.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
468,0.0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
469,2.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
470,1.0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
478,0.0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
480,1.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
484,3.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
485,1.0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
488,0.0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0
490,0.0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
492,0.0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1
495,0.0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1
496,1.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
497,1.0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
498,0.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
499,0.0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0
502,0.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
504,0.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
508,1.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
509,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
510,0.0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
514,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
515,0.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
521,0.0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0
523,1.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
525,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
531,2.0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1
534,0.0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
537,0.0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0
541,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
543,0.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
544,1.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
545,0.0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0
547,2.0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1
550,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
551,0.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
552,1.0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
555,0.0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1
556,0.0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0
559,0.0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
560,1.0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1
561,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
562,1.0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
566,2.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
571,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
573,1.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
577,0.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
584,0.0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
585,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
586,3.0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
588,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
591,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
592,1.0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
594,0.0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0
595,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
596,0.0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0
598,0.0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
599,0.0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
600,0.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
603,0.0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0
604,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
605,0.0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
606,1.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
607,0.0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
611,0.0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
612,0.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
614,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0
617,0.0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0
622,0.0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
623,1.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1
624,3.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
625,1.0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
626,3.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
627,0.0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1
628,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
630,0.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
631,1.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
633,1.0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
635,0.0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
636,1.0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1
637,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
639,0.0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0
640,0.0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
643,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0
645,0.0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0
647,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
650,0.0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0
653,1.0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
659,0.0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
660,0.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
662,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
663,2.0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1
664,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
669,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
671,0.0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0
673,0.0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
675,1.0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1
677,0.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
680,1.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
681,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
683,0.0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
684,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
690,2.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
691,1.0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1
694,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
696,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
697,1.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0
698,0.0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
699,1.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
700,0.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0
701,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
702,1.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
705,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
707,0.0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0
709,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
710,1.0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
714,1.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
715,0.0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
718,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
719,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
721,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
727,1.0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
730,1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
732,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
734,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
735,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
736,1.0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
738,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
739,3.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
741,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
742,1.0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
747,0.0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0
749,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
750,0.0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0
753,0.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
754,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
755,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
756,0.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
758,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
763,1.0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0
764,0.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
765,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
766,0.0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
767,0.0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0
770,0.0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
772,1.0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1
773,1.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
